CC.Line,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59
CC023cs,-0.146703192,-0.074492917,-0.224749099,0.070123975,0.18824225,-0.015053801,-0.062760247,-0.154639194,-0.118980623,0.070917737,-0.150938666,-0.054719211,-0.153758355,0.171875843,-0.088748581,0.137600064,0.068110737,-0.186997555,-0.234599514,-0.053720718,-0.078606255,0.025188969,0.046808154,0.004900009,0.156394825,-0.044338255,0.148128581,-0.040018282,-0.196017634,0.03526676,0.080634791,0.004920948,-0.251531249,0.08880643,0.008166288,-0.032140482,-0.099523715,0.0447181,0.220891874,-0.008414411,0.328134432,0.025731857,0.171172558,-0.044604406,-0.122039714,-0.020838464,0.148940194,-0.23253159,-0.32216013,0.021478903,-0.089279777,0.045296784,-0.00958245,-0.113452959,-0.100342265,0.105267341,0.107342998,-0.015482737,0.043983796
CC024cs,-0.081586208,0.215101411,0.109216525,0.180144712,0.016487073,-0.101285008,-0.113653184,0.006448878,0.109377187,-0.108303557,0.14645694,-0.052502339,0.04929165,-0.057395508,0.010145193,-0.001126045,-0.086094426,-0.258250858,0.042647199,-0.171140824,-0.123873357,-0.105930787,-0.104748144,0.118601456,0.078489378,-0.107555753,0.047255353,-0.084224013,0.050535321,-0.295304827,0.109870793,-0.130520567,-0.121231683,0.182265819,0.097166593,-0.059119536,0.307385139,-0.265355093,0.001685057,0.095106232,0.037585101,-0.1076645,-0.16581042,0.332979922,-0.127761565,0.115034254,0.106950776,0.088933305,-0.139243691,0.091430585,-0.001645115,-0.045165614,0.038478563,0.072808778,0.174248481,-0.034981559,0.046808996,0.094818234,0.091215156
CC025cs,-0.10705048,-0.03360201,0.057534096,0.258395281,0.014835126,0.057544912,-0.095080908,0.12396453,-0.234864902,-0.020682294,0.098861491,0.036941164,-0.314203263,-0.192996075,0.031963878,0.266478741,-0.170032761,0.091261778,0.06258746,0.043732235,0.02449311,-0.091381563,0.035587028,-0.079450131,0.059990009,0.09032166,-0.146437053,-0.091245213,0.288189654,0.214105501,0.076530557,0.040638342,-0.017558664,-0.002135167,0.154785182,-0.190173023,0.141369362,-0.040529744,-0.027899706,0.172642593,0.050208418,-0.064579459,0.250294991,-0.05886714,0.199474193,-0.158853406,-0.038600156,0.106496413,-0.003134713,-0.054250921,-0.14530376,-0.084848243,-0.146734864,0.004865008,-0.050691827,0.017611822,0.139998409,0.127364645,0.149345525
CC027cs,0.002392062,-0.093441377,-0.362868162,0.017432306,-0.121495067,-0.012701996,-0.131673495,-0.0063071,0.057847321,0.094598113,0.122180091,0.002907887,0.08911831,-0.089345399,0.000375966,0.133825293,-0.094962101,-0.134565062,0.064743752,0.020943656,0.028076043,-0.313422231,0.004741888,0.169785124,-0.139012556,-0.019416806,0.057382384,0.18558283,-0.236040733,0.11926422,-0.04598119,-0.194000274,0.009877256,0.032689481,-0.210923834,0.177911514,0.168841107,-0.179140987,-0.224277545,0.002950301,-0.09034074,0.140487464,0.220414894,0.105428274,-0.060258433,-0.093623219,-0.069409589,-0.22045383,0.173786737,-0.098971256,-0.036839549,-0.076221573,-0.131210566,-0.044107164,-0.123461216,-0.087558863,0.033388094,0.007327046,0.084494813
CC028cs,0.107370035,-0.11532703,0.053945112,-0.01267247,0.11900663,-0.046721079,0.043967584,0.08642758,0.187027467,-0.088549222,0.015514561,-0.047310259,0.069018731,-0.056093239,-0.037052385,0.091763702,-0.033906228,0.117320283,0.278176634,0.148790989,0.446178266,0.07371816,0.22747368,-0.021030418,0.120165641,0.114086251,0.283372701,-0.096819461,0.10238957,-0.020725261,0.384213603,-0.104095793,-0.145962756,0.233278787,-0.13775129,0.065813483,-0.004983464,0.012553784,-0.003895802,-0.147132725,0.042063754,-0.051096262,0.035187307,-0.060757954,-0.151443625,0.043656879,-0.025806362,0.007731099,-0.014370608,-0.114989991,-0.008092451,0.108743725,0.08007519,0.065846748,-0.052823224,-0.103130351,0.123391585,0.061881661,0.037660177
CC031cs,0.14115209,0.077465127,0.005355772,0.139915386,0.019960185,-0.118615899,0.034823692,0.134401235,-0.057846589,0.201923672,0.064657863,-0.054236355,-0.090824473,0.071286938,-0.029993275,-0.088195009,-0.129630437,-0.231231546,-0.058731982,0.033032968,0.003058401,0.024894267,-0.187141804,-0.055998289,-0.026698402,-0.171293377,0.174853902,-0.004155221,0.185608354,-0.043840873,-0.088539686,0.297339957,-0.321969105,0.200903922,-0.202376941,-0.020131795,-0.143810445,-0.057044786,0.043761558,-0.186273211,-0.058341812,0.333891877,0.015342841,-0.105364665,0.061153897,-0.176362868,-0.10239837,0.130558908,0.192389459,-0.022806147,-0.08058568,-0.061929524,-0.015966389,-0.044833765,0.210927617,-0.097785622,-0.015140929,-0.001177411,-0.040745848
CC032cs,0.07203391,0.195069004,-0.179902624,-0.084259617,0.152823794,-0.012965508,-0.260373382,-0.060786269,0.144203352,-0.19882966,0.04333087,-0.145884842,-0.041901039,0.070276248,0.028174139,-0.142251066,-0.116240837,-0.12862779,0.008502306,0.032060541,-0.115783835,-0.034290886,0.161562744,0.03615714,-0.046835972,0.015401658,-0.277941906,-0.117244838,0.147760356,-0.150655121,0.159090599,-0.026101895,0.08276884,0.153249498,-0.107707188,-0.029885691,-0.230081099,0.130807699,0.016805933,-0.060043429,-0.083799426,-0.185398964,0.140575915,0.032097485,0.094114776,-0.142369492,-0.407505102,-0.095070742,-0.016228231,0.206144782,0.048491397,-0.051214984,-0.034857383,-0.102608783,-0.055839518,0.088567047,0.07266477,-0.116534312,-0.038652193
CC033cs,-0.114544273,-0.034723195,0.066172789,-0.10966977,-0.118483439,-0.185680515,0.066735911,0.0846915,-0.24844007,0.014826468,0.08300277,0.119474955,0.037254039,0.069902072,-0.208090871,-0.086485888,-0.174493736,0.195679864,-0.38515394,-0.058932077,-0.03278758,-0.083984061,0.153546309,0.067925865,0.058433124,-0.020105442,-0.27665724,0.087783353,-0.003515671,-0.02918204,0.226657076,0.052626933,-0.012031602,0.039172497,-0.445455943,-0.124649962,0.13466758,-0.01738312,0.046202953,-0.121883367,-0.154581203,-0.102085711,-0.009067877,-0.004724111,-0.029793543,0.144653438,0.124940579,0.014840317,0.000550522,-0.066348856,-0.072370787,0.011920947,0.10963421,0.008147396,0.005107995,-0.041244971,0.147646334,-0.012036271,-0.018432714
CC034cs,0.130059363,-0.147512983,-0.077799943,0.145453686,0.036653038,-0.026690241,-0.050914962,-0.03188028,-0.127897877,-0.167380983,0.138538324,0.142718252,0.231426161,0.135847478,0.059194312,-0.161244463,0.201502146,0.043578327,-0.041411051,0.055057941,-0.103688724,-0.196561163,0.19884862,-0.214217205,-0.008367125,-0.289378307,0.138900149,-0.071351796,0.167678175,0.233914741,-0.160728824,-7.98E-05,0.238854446,0.227645461,-0.017095891,0.160653072,-0.170009935,-0.043360791,0.082049695,0.046297741,-0.012777824,-0.085842841,0.012087773,0.154324024,0.114625108,0.013637633,0.111886091,0.030650003,-0.130747919,-0.068166266,-0.047800163,0.111242422,-0.072131737,0.047117716,0.140906452,-0.116539431,0.152232413,0.074299093,0.072146469
CC035cs,-0.013425505,-0.086316863,-0.031570377,-0.055221376,-0.007504706,-0.140700716,-0.246154007,0.152632808,-0.033578227,-0.10331886,-0.035656268,0.080312717,0.216137315,0.215295964,0.503765781,0.153870129,-0.104871046,-0.068915511,-0.022369547,0.278445694,0.008293295,0.106889265,-0.099805958,0.070972532,0.025441287,-0.047987711,-0.087081628,0.19479839,0.158158269,0.023737284,0.060981643,-0.078244459,-0.145467444,-0.294383568,-0.034534244,0.135125617,0.046241841,-0.00449145,0.252868774,-0.042829781,0.06450852,-0.027805378,0.121711145,-0.037877257,-0.002836174,0.053249537,0.097351579,0.080154545,-0.002231221,0.103614264,0.061223376,-0.115381729,0.098198493,0.08824005,0.059014048,-0.04569684,-0.036675683,-0.033334703,0.044354221
